German,Spanish
sie,tú
das,la
ist,es
nicht,No
die,la
es,eso
und,y
der,la
zu,a
er,él
ein,a 
in,en
ja,Sí
mir,yo
mit,Con
wie,cómo
den,la
mich,yo
auf,en
dass,que
eine,una
so,asi que
hat,Posee
hier,aquí
haben,tener
für,por
sind,son
war,estaba
von,de
wenn,si
dich,tú
nein,no
habe,tener
an,en
bin,soy
noch,todavía
nur,solamente 
da,allá
dir,para ti
sich,sí mismo
hast,tener
dem,hacia
kann,pueden
gut,Bien
auch,además
schon,hermoso
als,como
sein,ser
mal,veces
jetzt,ahora
ihn,a él
dann,después
aus,afuera
meine,pensar
um,alrededor
im,en el
wird,convertirse en
mein,mi
bist,eres
doch,aún
alles,todos
weiß,Blanco
keine,no
oder,o
nach,después
s,S
nichts,Nada
man,una
muss,tengo que
werden,voluntad
will,desear
ihnen,a ellos
geht,va
wo,Dónde
etwas,alguno
oh,Vaya
mehr,más
bei,a
also,asi que
bitte,De nada
immer,siempre
warum,por qué
vor,antes de
los,Vamos
können,ser capaz
sagen,decir
machen,hacer
danke,Gracias
sehr,muy
alle,Todo el mundo
denn,después
mann,esposo
tun,hacer
ihm,a él
gehen,caminar
vielleicht,quizás
einem,a
wer,quién
ihre,sus
diese,este
euch,tú
einer,una
über,arriba
gibt,son
okay,OK
deine,tuya
müssen,tengo que
soll,objetivo
werde,voluntad
nie,nunca
wirklich,De Verdad
hey,Oye
viel,un monton de
weg,lejos
würde,haría
am,en el
des,de
einfach,fácil
leben,Vida
hatte,tendría
zeit,tiempo
weil,porque
willst,desear
dein,su
heute,Este Dia
wollen,desear
ganz,todos
wollte,quería
weißt,blanco
ok,OK
sicher,seguro
gesagt,dijo
frau,Sra
nun,bien
bis,Hasta que
wurde,convertirse
leid,sufrimiento
na,n / A
kannst,pueden
macht,energía
dieser,este
zurück,devolver
lassen,dejar
meinen,pensar
gott,Dios
seine,su
hätte,tendría
zwei,dos
könnte,pudo
genau,Estoy de acuerdo
waren,fueron
zur,hacia
lass,dejar
klar,claro
morgen,Mañana
leute,gente
vater,padre
schön,agradable
glaube,creer
mr,SRES
ab,lejos
gerade,sólo
tag,Día
reden,hablar
wohl,probablemente
liebe,amor
sollte,debería
sagte,dijo
unsere,nuestro
jemand,alguien
geld,dinero
durch,mediante
ob,si
mutter,madre
raus,Afuera
gemacht,hizo
paar,pocos
